,precision,recall,f1-score,support
No heart attack,0.9090909090909091,0.78125,0.8403361344537815,64.0
heart attack,0.903448275862069,0.9632352941176471,0.9323843416370107,136.0
accuracy,0.905,0.905,0.905,0.905
macro avg,0.906269592476489,0.8722426470588236,0.8863602380453961,200.0
weighted avg,0.9052539184952978,0.905,0.9029289153383773,200.0
